k,C_measured,C_HL_prediction
2800,2.180500,2.137744
2801,0.463355,0.456438
2802,1.107330,1.092559
2803,0.849527,0.826890
2804,0.462439,0.455822
2805,2.407703,2.368168
2806,0.496726,0.485480
2807,1.345933,1.333105
2808,0.991576,0.973181
2809,0.655077,0.647298
2810,1.221123,1.199523
2811,0.452402,0.444295
2812,1.682880,1.651747
2813,0.892146,0.880137
2814,0.730513,0.720450
2815,1.259501,1.240180
2816,0.754060,0.743726
2817,0.896131,0.888086
2818,0.889631,0.877736
2819,0.538919,0.533278
2820,1.455251,1.426053
2821,0.927264,0.914265
2822,0.954135,0.939732
2823,1.301716,1.278877
2824,0.433181,0.425865
2825,1.478926,1.452664
2826,0.559973,0.552789
2827,1.072851,1.049857
2828,1.490923,1.457872
2829,0.472198,0.462915
2830,1.815233,1.780767
2831,0.558907,0.547391
2832,0.872669,0.858997
2833,1.157833,1.142456
2834,0.577937,0.565733
2835,2.009385,1.986743
2836,0.428258,0.419447
2837,1.244734,1.225194
2838,1.224532,1.201623
2839,0.475949,0.463885
2840,1.659439,1.636450
2841,0.407737,0.398003
2842,1.721024,1.693555
2843,0.922810,0.907499
2844,0.635174,0.623852
2845,1.514406,1.492423
2846,0.407780,0.397533
2847,1.381307,1.354699
2848,0.827152,0.813009
2849,0.909577,0.902635
2850,1.508546,1.489431
2851,0.614227,0.602633
2852,1.047812,1.028644
2853,0.938793,0.924210
2854,0.541987,0.530414
2855,1.215263,1.195680
2856,1.082845,1.063357
2857,0.808208,0.795620
2858,1.070805,1.059957
2859,0.410891,0.404124
2860,2.015969,1.975049
2861,0.578235,0.568346
2862,0.945612,0.935589
2863,1.451181,1.432783
2864,0.531460,0.518130
2865,1.638407,1.610171
2866,0.402239,0.397528
2867,1.151505,1.142508
2868,1.094011,1.068848
2869,0.522894,0.510042
2870,2.177134,2.139991
2871,0.581239,0.569514
2872,1.077816,1.065797
2873,1.190011,1.172204
2874,0.417838,0.412470
2875,2.179776,2.148568
2876,0.402793,0.398083
2877,1.533265,1.512677
2878,0.948446,0.935062
2879,0.584564,0.575850
2880,1.241090,1.222723
2881,0.461139,0.450994
2882,1.664383,1.638307
2883,0.934936,0.923734
2884,0.764928,0.751473
2885,1.215028,1.197299
2886,0.806908,0.785599
2887,0.837977,0.822222
2888,0.919358,0.900220
2889,0.626629,0.620715
2890,1.696944,1.671268
2891,0.700680,0.688247
2892,0.813066,0.802885
2893,1.441400,1.422355
2894,0.430474,0.424911
2895,1.408114,1.393850
2896,0.598948,0.584739
2897,0.981880,0.964028
2898,1.573327,1.541712
2899,0.498537,0.490071
2900,2.012112,1.977659
2901,0.471495,0.458881
2902,0.811809,0.795407
2903,1.215199,1.199326
2904,0.541412,0.531145
2905,2.074890,2.036043
2906,0.423208,0.419509
2907,1.433579,1.413611
2908,1.046576,1.031452
2909,0.408803,0.397610
2910,1.749323,1.729971
2911,0.524982,0.517825
2912,1.641859,1.618033
2913,0.984118,0.965584
2914,0.602336,0.595354
2915,1.620507,1.595135
2916,0.448971,0.441688
2917,1.082355,1.061025
2918,0.882194,0.864740
2919,0.823764,0.807396
2920,1.336194,1.309839
2921,0.670825,0.664557
2922,0.927562,0.912582
2923,0.889759,0.871813
2924,0.678070,0.671875
2925,1.537122,1.510450
2926,1.005619,0.986974
2927,0.806822,0.796311
2928,1.111208,1.100043
2929,0.516714,0.514395
2930,1.580764,1.547915
2931,0.536212,0.533849
2932,0.860949,0.851336
2933,1.598707,1.569839
2934,0.452381,0.447239
2935,1.891713,1.860309
2936,0.422291,0.421227
2937,1.068632,1.046229
2938,1.400805,1.388667
2939,0.447778,0.440673
2940,2.017035,1.984852
